DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN
20170104,24.5,25.25,24.4,25.25,26885200,25.25
20170105,25.25,25.25,24.8,24.9,11503800,24.9
20170106,24.9,25.25,24.9,25,9450600,25.25
20170109,25.25,25.25,24.5,24.6,9087600,24.7
20170110,24.7,25,24.6,24.9,13239500,24.8
20170111,24.8,25,24.6,24.6,7009100,24.8
20170112,24.8,24.8,24.6,24.6,2518800,24.7
20170113,24.7,24.8,24.5,24.6,4047000,24.7
20170116,24.7,24.7,24.4,24.5,4973800,24.5
20170117,24.5,24.6,24.3,24.4,5211700,24.5
20170118,24.5,24.6,24.3,24.3,2646700,24.3
20170119,24.3,24.6,24.3,24.4,6672000,24.4
20170120,24.4,24.7,24.4,24.6,3039100,24.7
20170123,24.7,25.25,24.6,25,18866300,25
20170124,25,25.5,25,25,12560500,25
20170125,25,25.25,24.9,25,8904300,25
20170126,25,25,24.6,24.6,6204600,24.6
20170127,24.6,24.8,24.6,24.8,2071200,24.9
20170130,24.9,24.9,24.6,24.6,2253500,24.6
20170131,24.6,25.25,24.6,24.8,9260500,24.8
20170201,24.8,24.9,24.6,24.8,4939400,24.8
20170202,24.8,24.9,24.6,24.6,3884600,24.7
20170203,24.7,24.7,24.3,24.5,5776200,24.5
20170206,24.5,24.6,24.2,24.6,11906500,24.6
20170207,24.6,24.6,24.3,24.4,4581000,24.5
20170208,24.5,24.5,24.4,24.5,2076000,24.6
20170209,24.6,25,24.5,24.9,12651200,24.9
20170210,24.9,25,24.5,24.5,5920100,24.6
20170214,24.6,24.7,24.5,24.6,2874500,24.6
20170215,24.6,24.8,24.5,24.6,2567100,24.8
20170216,24.8,26,24.7,26,50982600,26
20170217,26,26.25,25.75,26.25,17724800,26
20170220,26,26.25,25.5,25.75,8871800,25.75
20170221,25.75,25.75,25,25.25,11977000,25.25
20170222,25.25,25.75,25,25.5,8228500,25.5
20170223,25.5,26,25.25,26,4739600,25.5
20170224,25.5,25.75,25,25,8243900,25
20170227,25,25.25,24.8,25,7860500,25
20170228,25,25,24.6,24.6,7431100,24.7
20170301,24.7,25,24.7,25,10352500,25
20170302,25,25.5,25,25.25,4844300,25
20170303,25,25.25,24.9,25.25,4841400,25
20170306,25,25.25,24.8,24.9,4242900,24.9
20170307,24.9,25,24.7,24.9,2080100,24.8
20170308,24.8,24.9,24.5,24.8,5075700,24.7
20170309,24.7,24.7,24.4,24.4,6251500,24.4
20170310,24.4,24.7,24.4,24.4,4236600,24.4
20170313,24.4,24.8,24.4,24.7,3650800,24.6
20170314,24.6,24.9,24.5,24.7,4321100,24.7
